output,input
-0.736948723,1.933670413
1.004664996,-0.801819218
0.390884392,0.596734059
1.559100617,-0.506527105
-0.276493991,-0.323288038
0.253152415,-0.47987215
0.403172732,-0.046140201
-0.174050797,-0.156297301
-3.333498594,0.464095959
-0.399663104,-1.330897348
1.163913617,-0.14322648
-0.60018728,0.381734825
-1.05834469,0.140923849
2.611730104,1.750637721
1.194780976,0.367723411
1.523049203,2.978733247
1.141701614,-0.0322937
1.919025898,-0.270791585
-0.169149483,0.007490919
1.695763858,1.395583719
2.804884655,0.502101326
4.493117273,-0.371081376
1.500102658,-0.025247027
2.776986136,-1.008875653
6.565749859,0.942624097
3.54265911,1.493129329
-1.446540792,-0.381163008
1.00882242,0.919834914
8.778826081,-0.887401798
1.859449505,1.224327429
2.748621514,-0.080327785
2.516902744,0.359068798
8.464668553,-1.804156551
4.781470673,-0.97900018
3.042875194,0.601845745
4.678603508,0.744849785
1.712011952,0.660049736
0.337660682,-0.954776476
0.629853227,0.243903388
12.09587328,-0.369508484
2.8898593,0.523840442
3.012510366,0.244738317
2.420726336,-1.541449221
2.33886644,-1.205025685
4.338546183,0.0327897
2.449980466,-0.033630297
5.919557252,1.523408863
1.512555813,-1.005621865
-2.924476388,-1.49281851
3.00502831,0.851153097
2.838983321,-0.451911351
3.010385179,-0.148020305
-1.441262063,-0.110162174
13.19851142,-0.465854908
4.330761305,1.067856028
2.7360416,0.867549909
2.400022198,-0.899742353
0.60099268,-0.633488538
-8.021800582,0.856338098
0.400590569,-0.224597966
6.966807607,1.170913825
3.814513594,-0.663746752
-3.748003001,-0.564711643
2.407307399,0.149534151
2.08967972,0.028826751
3.602843011,-0.021313457
7.146406371,-1.071116906
0.928290164,0.461092407
3.119648455,0.578300911
2.21461944,-0.76846534
2.450954021,1.083017254
3.437448909,2.234287172
-3.38431466,0.756400763
3.997338422,1.068041855
-5.457826011,-0.243027158
2.901751842,-1.882206021
2.975395333,-0.387303666
5.429227379,0.208585261
4.255839699,0.773991731
11.0214311,0.924512732
11.72453693,0.894716449
1.997437367,0.427277999
0.747333381,0.782613229
-17.83530266,-1.9652565
2.257716643,-0.448779963
-7.519463417,1.641420503
4.535186551,-0.298315671
3.351490952,0.492743168
2.304037124,1.827418295
2.68695211,0.39246293
2.666329021,-0.79250683
2.799032375,-0.269368856
21.23386881,-0.396758363
0.620627014,-0.023262586
3.230518146,0.915532488
1.928300538,0.008349527
2.718404881,-0.984655661
4.296435072,0.665255409
2.572629779,0.38605394
-6.503459772,-0.195741782
5.045096608,0.551382519
3.111040087,0.090080102
-0.270514016,-0.614496911
0.605573495,2.032716058
2.405210245,-0.101066472
4.127811602,0.093335649
6.511256026,0.457206246
2.195972327,-1.265554864
2.662682652,-2.484999781
2.666232341,0.294925018
2.24768996,-1.298321226
2.890829246,-0.993287052
6.76419708,0.525036492
4.742049209,1.254453185
3.908783782,-1.255912514
2.128219952,1.393401801
2.599593982,0.17318869
19.62333116,-0.941875958
0.582747323,0.283255547
3.845252218,0.376001441
-3.213794509,-0.409934288
4.427355317,-1.979763673
2.372788486,0.397856742
3.619359345,0.537430242
4.171435441,0.429339551
2.587454506,-0.334824801
5.060234705,0.704187883
0.884451157,-0.914406943
-3.021039363,-0.300413692
2.608048275,0.298551466
1.735453163,0.078143279
2.791864669,2.14081497
1.806376116,1.208075864
2.96012471,0.697185939
2.435014558,0.404090494
3.572949364,0.883752318
9.493265725,0.449021962
-25.90453841,-1.640288256
1.698058183,0.988513928
1.61280297,-1.238655556
174.915289,0.121025435
0.434833044,0.9994693
-1.911823966,0.741062778
2.504874601,0.714451176
1.45122793,-0.607985194
2.659174979,1.542623884
0.678332702,0.990900778
3.405069332,-0.341306112
2.722629725,2.016837989
6.832063571,-1.421521137
3.367187384,-1.674538934
2.524816327,-0.32666307
2.166515057,-0.277650649
12.01637639,0.747404581
3.452506011,-0.281825468
1.757953144,-2.050715022
4.098175341,-0.441884071
3.561388075,2.943258483
1.831720361,0.587259475
2.566783395,-1.592100309
-0.651285736,-0.235893471
3.481448688,0.14410192
3.274682685,-0.073571594
1.748899345,-0.411435293
2.537400949,0.048425056
0.73748313,-0.015095482
4.22579159,-3.009111717
2.306180923,0.094768922
2.418186088,0.431216102
-0.507702784,1.098039281
1.044779781,0.606418762
5.975428699,-0.488020149
3.015468996,-0.846611467
3.548226601,0.157621062
3.089769222,0.032682571
-0.81584714,0.897562649
0.281229899,0.362295435
2.93310964,-1.143435904
2.351163292,1.173729317
0.731838692,0.65409862
3.396503691,0.413964262
3.654133994,-0.420043862
4.143448217,-0.42380014
2.782383643,-1.168763338
3.007627261,-0.05252205
-27.57912143,-2.178653525
-0.94423595,0.156249147
3.556045349,-0.858391927
3.731872518,-0.71990948
1.453666839,1.048018795
2.520804698,0.796429484
2.908440751,-0.988721781
2.764434894,1.911354572
10.16849973,-2.40289435
2.954387572,1.191118105
2.214494586,0.00435589
1.717418474,-0.062779958
2.974715891,-0.763900215
3.761597647,0.706866839
3.341645618,-0.656884107
4.311585924,-0.239935989
